platform_id,item_id,item_name,completion_percentage,due_date,assigned_team,priority,estimated_hours,status
PLAT-001,ITEM-001-001,Equipment Item 1-1,58,2025-09-19,Delta,High,24,In Progress
PLAT-001,ITEM-001-002,Equipment Item 1-2,67,2025-08-25,Gamma,High,87,In Progress
PLAT-001,ITEM-001-003,Equipment Item 1-3,8,2025-09-10,Gamma,Medium,17,Planning
PLAT-001,ITEM-001-004,Equipment Item 1-4,74,2025-11-18,Delta,High,114,In Progress
PLAT-001,ITEM-001-005,Equipment Item 1-5,31,2025-10-03,Beta,Low,14,In Progress
PLAT-001,ITEM-001-006,Equipment Item 1-6,27,2025-10-31,Echo,Medium,118,In Progress
PLAT-001,ITEM-001-007,Equipment Item 1-7,27,2025-09-16,Echo,High,73,In Progress
PLAT-001,ITEM-001-008,Equipment Item 1-8,65,2025-10-18,Alpha,High,18,In Progress
PLAT-001,ITEM-001-009,Equipment Item 1-9,100,2025-11-29,Alpha,Low,49,Completed
PLAT-001,ITEM-001-010,Equipment Item 1-10,93,2025-10-30,Beta,Medium,11,Almost Done
PLAT-001,ITEM-001-011,Equipment Item 1-11,50,2025-11-26,Delta,High,120,In Progress
PLAT-001,ITEM-001-012,Equipment Item 1-12,90,2025-08-29,Alpha,High,49,Almost Done
PLAT-001,ITEM-001-013,Equipment Item 1-13,59,2025-11-05,Beta,High,94,In Progress
PLAT-001,ITEM-001-014,Equipment Item 1-14,41,2025-11-04,Alpha,High,25,In Progress
PLAT-001,ITEM-001-015,Equipment Item 1-15,100,2025-11-06,Echo,High,88,Completed
PLAT-001,ITEM-001-016,Equipment Item 1-16,56,2025-09-30,Alpha,Low,36,In Progress
PLAT-001,ITEM-001-017,Equipment Item 1-17,3,2025-09-04,Delta,Low,93,Planning
PLAT-001,ITEM-001-018,Equipment Item 1-18,100,2025-10-01,Beta,Low,34,Completed
PLAT-001,ITEM-001-019,Equipment Item 1-19,15,2025-11-01,Beta,Low,88,Planning
PLAT-001,ITEM-001-020,Equipment Item 1-20,1,2025-08-21,Beta,Medium,117,Planning
PLAT-001,ITEM-001-021,Equipment Item 1-21,0,2025-09-27,Gamma,Medium,52,Not Started
PLAT-001,ITEM-001-022,Equipment Item 1-22,76,2025-09-18,Gamma,Low,72,Almost Done
PLAT-001,ITEM-001-023,Equipment Item 1-23,100,2025-09-24,Beta,Low,25,Completed
PLAT-001,ITEM-001-024,Equipment Item 1-24,2,2025-11-28,Beta,High,116,Planning
PLAT-001,ITEM-001-025,Equipment Item 1-25,5,2025-09-06,Delta,Medium,44,Planning
PLAT-001,ITEM-001-026,Equipment Item 1-26,0,2025-10-25,Delta,Low,110,Not Started
PLAT-001,ITEM-001-027,Equipment Item 1-27,100,2025-11-25,Alpha,Medium,23,Completed
PLAT-001,ITEM-001-028,Equipment Item 1-28,99,2025-10-07,Gamma,High,28,Almost Done
PLAT-001,ITEM-001-029,Equipment Item 1-29,0,2025-08-16,Gamma,Low,26,Not Started
PLAT-001,ITEM-001-030,Equipment Item 1-30,9,2025-09-04,Delta,Low,24,Planning
PLAT-001,ITEM-001-031,Equipment Item 1-31,2,2025-08-31,Alpha,High,30,Planning
PLAT-001,ITEM-001-032,Equipment Item 1-32,26,2025-11-04,Delta,Medium,63,In Progress
PLAT-001,ITEM-001-033,Equipment Item 1-33,95,2025-09-05,Alpha,Low,88,Almost Done
PLAT-001,ITEM-001-034,Equipment Item 1-34,94,2025-10-12,Gamma,Low,96,Almost Done
PLAT-001,ITEM-001-035,Equipment Item 1-35,96,2025-09-26,Echo,High,108,Almost Done
PLAT-001,ITEM-001-036,Equipment Item 1-36,5,2025-08-18,Echo,Low,106,Planning
PLAT-001,ITEM-001-037,Equipment Item 1-37,67,2025-11-13,Delta,Low,28,In Progress
PLAT-001,ITEM-001-038,Equipment Item 1-38,46,2025-10-13,Gamma,Low,27,In Progress
PLAT-001,ITEM-001-039,Equipment Item 1-39,20,2025-12-03,Beta,Low,89,Planning
PLAT-001,ITEM-001-040,Equipment Item 1-40,19,2025-08-25,Beta,Medium,8,Planning
PLAT-001,ITEM-001-041,Equipment Item 1-41,42,2025-09-30,Alpha,Low,67,In Progress
PLAT-001,ITEM-001-042,Equipment Item 1-42,45,2025-10-15,Gamma,Low,23,In Progress
PLAT-001,ITEM-001-043,Equipment Item 1-43,90,2025-10-27,Gamma,Medium,17,Almost Done
PLAT-001,ITEM-001-044,Equipment Item 1-44,46,2025-11-19,Echo,Medium,94,In Progress
PLAT-001,ITEM-001-045,Equipment Item 1-45,10,2025-10-19,Echo,Medium,61,Planning
PLAT-001,ITEM-001-046,Equipment Item 1-46,15,2025-09-30,Gamma,Medium,108,Planning
PLAT-001,ITEM-001-047,Equipment Item 1-47,83,2025-10-13,Gamma,Medium,29,Almost Done
PLAT-001,ITEM-001-048,Equipment Item 1-48,0,2025-11-21,Gamma,Low,26,Not Started
PLAT-001,ITEM-001-049,Equipment Item 1-49,83,2025-12-01,Delta,High,34,Almost Done
PLAT-001,ITEM-001-050,Equipment Item 1-50,58,2025-10-11,Delta,Low,15,In Progress
PLAT-002,ITEM-002-001,Equipment Item 2-1,92,2025-11-01,Gamma,Low,27,Almost Done
PLAT-002,ITEM-002-002,Equipment Item 2-2,68,2025-11-28,Echo,Low,17,In Progress
PLAT-002,ITEM-002-003,Equipment Item 2-3,100,2025-09-19,Alpha,Low,94,Completed
PLAT-002,ITEM-002-004,Equipment Item 2-4,18,2025-08-31,Echo,Low,11,Planning
PLAT-002,ITEM-002-005,Equipment Item 2-5,90,2025-10-16,Gamma,Medium,21,Almost Done
PLAT-002,ITEM-002-006,Equipment Item 2-6,45,2025-09-16,Beta,Low,22,In Progress
