transaction_id,customer_id,product_name,category,quantity,unit_price,total_amount,transaction_date,payment_method,region
16493253-cbf,43081610,Product 1,Clothing,8,262.16,2097.28,2025-04-12,Credit Card,Central
7619e3b5-692,a091dad8,Product 2,Electronics,8,259.15,2073.2,2025-05-13,PayPal,West
a390e112-3e1,d8a4e403,Product 3,Home,9,438.4,3945.6,2024-11-27,Credit Card,West
fd7f7fc9-3e2,218b5d2c,Product 4,Electronics,3,295.12,885.36,2025-01-30,PayPal,East
e534aad9-ea9,08479528,Product 5,Electronics,3,162.9,488.7,2025-03-05,Cash,South
b468da34-907,44d5eb40,Product 6,Sports,2,363.04,726.08,2025-09-01,Credit Card,Central
f921cb50-2ce,d671c6b1,Product 7,Clothing,4,269.37,1077.48,2025-01-16,Debit Card,East
3d2efaee-585,db0b887f,Product 8,Books,9,348.02,3132.18,2024-12-31,Credit Card,East
adfaedc4-7ad,8526e5bb,Product 9,Home,7,93.42,653.94,2025-08-02,Debit Card,West
0e56598e-9f7,6f35550b,Product 10,Electronics,5,279.95,1399.75,2025-02-16,PayPal,West
6ceec7c0-774,a5672bcf,Product 11,Electronics,4,397.54,1590.16,2025-04-12,Credit Card,West
f05a3390-79e,b1850a69,Product 12,Clothing,4,236.29,945.16,2025-02-13,Credit Card,West
297b6128-d14,df8dbab5,Product 13,Home,1,383.72,383.72,2025-07-05,Cash,North
d6e0bdb9-a75,8f46e8d6,Product 14,Books,4,155.83,623.32,2025-06-16,Cash,South
ff355d75-bd2,b914b526,Product 15,Books,1,214.22,214.22,2024-10-09,PayPal,East
0b4c793a-db5,a6dc768a,Product 16,Electronics,4,407.16,1628.64,2025-03-29,Credit Card,South
16b01d91-882,afd61967,Product 17,Sports,1,357.96,357.96,2024-10-22,Cash,Central
c200c770-e90,234e7723,Product 18,Electronics,2,405.03,810.06,2025-03-03,PayPal,South
ea610bfb-859,c60e9072,Product 19,Sports,4,210.57,842.28,2025-04-20,Debit Card,East
e55305b4-32c,6a6d58e1,Product 20,Books,9,481.19,4330.71,2025-03-07,Debit Card,East
dc5963c2-ae0,03a175d5,Product 21,Electronics,2,231.4,462.8,2025-07-31,PayPal,East
cbab39e5-d3f,a3b1b4e9,Product 22,Home,10,462.75,4627.5,2025-03-16,PayPal,South
5b6da014-5ea,9d89d123,Product 23,Books,5,197.14,985.7,2025-06-21,Debit Card,East
6ea69e07-07c,d6de07c0,Product 24,Clothing,7,474.45,3321.15,2024-12-18,Cash,South
e1455fa3-a5b,ba7d1464,Product 25,Home,8,284.34,2274.72,2025-07-22,Cash,West
f91b661b-ed9,2656af0a,Product 26,Clothing,5,216.89,1084.45,2025-07-24,Cash,Central
95b0b268-76c,8b10abe7,Product 27,Sports,4,371.32,1485.28,2025-02-15,Debit Card,East
708a8d85-88d,c2435a47,Product 28,Sports,4,414.89,1659.56,2024-09-19,PayPal,East
38917a8b-422,e7e35a62,Product 29,Books,6,156.57,939.42,2025-05-08,Cash,East
c95599f1-924,f2811ae9,Product 30,Books,7,47.57,332.99,2024-09-21,Credit Card,North
453685c2-eff,ec5b6c57,Product 31,Sports,10,108.37,1083.7,2025-07-27,Credit Card,South
6a91d092-c47,882ddabb,Product 32,Books,10,427.79,4277.9,2025-02-09,PayPal,Central
b8d186e8-304,80debca3,Product 33,Home,1,275.92,275.92,2025-03-26,Cash,Central
fb01896c-58f,bc02203d,Product 34,Electronics,8,73.77,590.16,2024-10-27,Debit Card,East
b652c540-5ce,7b6db6eb,Product 35,Clothing,2,20.62,41.24,2025-07-06,Debit Card,West
9fbb942a-722,1f0c6496,Product 36,Books,6,338.93,2033.58,2025-05-27,Cash,Central
36d9a1bd-994,bcf8380c,Product 37,Electronics,2,266.56,533.12,2025-05-04,Debit Card,East
403bef16-d61,37693546,Product 38,Sports,10,450.13,4501.3,2025-06-22,Cash,North
ef521d50-a29,97c04783,Product 39,Electronics,5,250.31,1251.55,2025-04-30,Credit Card,South
bbd0f972-25f,9c386f5e,Product 40,Clothing,1,11.44,11.44,2025-01-03,Cash,Central
4ad2f2db-c25,458fdcb8,Product 41,Clothing,1,473.83,473.83,2024-09-24,PayPal,West
bedba128-4ae,580a657d,Product 42,Sports,3,169.09,507.27,2025-04-26,Cash,North
0f0bc8ee-16f,d9b161a2,Product 43,Sports,5,227.69,1138.45,2025-06-03,Cash,East
dadbdbd9-b74,330d04a9,Product 44,Electronics,4,121.23,484.92,2025-03-04,Cash,East
230d610e-d06,234a701f,Product 45,Home,7,307.39,2151.73,2024-09-15,Credit Card,West
