VendorID,lpep_pickup_datetime,lpep_dropoff_datetime,store_and_fwd_flag,RatecodeID,PULocationID,DOLocationID,passenger_count,trip_distance,fare_amount,extra,mta_tax,tip_amount,tolls_amount,ehail_fee,improvement_surcharge,total_amount,payment_type,trip_type,congestion_surcharge
1.72,2019-01-01 00:58:02,2019-01-01 01:04:54,Y,5.57,28.87,74.03,7.06,53.48,-14.81,-2.62,1.62,84.0,20.88,such,0.09,-61.64,1.39,1.8,0.39
1.02,2019-01-01 00:12:47,2019-01-01 00:39:43,Y,4.26,37.7,192.45,2.82,31.16,67.06,-0.64,2.44,86.73,50.17,use,0.13,-43.52,4.06,1.42,0.62
1.19,2019-01-01 00:19:06,2019-01-01 00:19:09,N,5.71,25.67,89.56,1.99,23.86,-27.14,-4.49,3.2,31.52,10.51,none,0.27,141.06,4.88,1.5,1.21
1.25,2018-12-21 15:17:29,2019-01-01 00:31:38,Y,5.54,60.41,244.9,0.5,98.54,286.24,-1.98,0.17,15.87,83.83,same,-0.25,316.0,4.25,1.58,2.61
1.79,2019-01-01 00:46:20,2019-01-01 00:39:43,Y,4.84,119.09,252.82,5.55,16.67,126.59,1.23,3.64,97.33,95.19,amount,-0.23,-79.39,1.16,1.28,0.4
1.12,2019-01-01 00:47:55,2019-01-01 01:00:01,Y,3.07,258.73,32.52,7.61,69.52,-21.21,-4.4,1.71,8.54,15.76,other,0.18,381.05,1.2,1.94,0.33
1.1,2019-01-01 00:12:35,2019-01-01 00:19:09,N,1.38,103.1,239.09,6.86,6.07,6.05,-4.3,-0.07,2.23,60.81,identify,-0.13,205.5,3.17,1.23,2.1
1.78,2019-01-01 00:27:11,2019-01-01 01:00:01,Y,4.97,232.87,80.4,0.02,64.8,249.21,4.14,2.86,88.85,82.28,score,-0.3,219.77,2.84,1.42,0.01
1.69,2019-01-01 00:12:47,2019-01-01 00:39:46,N,1.55,75.8,214.99,0.18,98.87,372.74,-1.97,0.85,-8.36,56.48,land,-0.12,88.5,4.06,1.85,1.06
1.34,2019-01-01 00:27:11,2019-01-01 00:39:43,Y,5.78,123.67,151.95,6.15,35.41,216.17,-3.27,3.34,6.72,65.27,say,0.09,-56.67,2.57,1.91,2.65
1.43,2018-12-21 15:17:29,2019-01-01 01:19:02,Y,2.84,81.29,26.48,8.17,42.89,-92.54,-2.19,-0.48,52.49,88.76,condition,0.17,-14.76,1.83,1.78,1.21
1.82,2019-01-01 00:46:20,2019-01-01 00:16:32,Y,2.77,255.94,64.53,5.31,44.99,76.45,-2.49,2.6,39.87,6.17,professor,-0.14,248.42,1.66,1.75,2.24
1.6,2019-01-01 00:12:47,2019-01-01 00:30:50,Y,3.0,257.92,223.39,5.38,8.55,10.73,-2.39,1.02,84.45,80.11,including,-0.02,266.03,1.55,1.03,2.2
1.91,2019-01-01 00:19:06,2019-01-01 00:30:50,N,2.58,263.66,77.44,1.49,35.98,-39.08,0.23,2.56,77.75,11.78,strong,0.09,343.61,4.31,1.36,1.26
1.41,2019-01-01 00:47:55,2019-01-01 01:00:01,Y,2.36,70.91,254.7,7.62,31.83,-46.39,-1.94,2.49,65.5,65.71,hour,-0.08,393.82,2.54,1.23,1.06
1.68,2019-01-01 00:46:20,2019-01-01 00:30:50,N,3.65,260.72,189.73,7.23,23.35,16.15,0.07,1.17,8.5,87.7,collection,0.14,389.59,4.12,1.67,0.02
1.39,2019-01-01 00:47:55,2019-01-01 01:19:02,N,3.43,116.04,34.79,5.86,101.35,355.15,-1.59,-0.17,43.15,37.83,society,0.16,31.29,2.64,1.85,0.96
1.72,2019-01-01 00:16:23,2019-01-01 00:39:43,Y,5.54,152.21,205.66,6.86,116.91,96.17,-2.12,1.02,-7.06,93.5,reveal,0.22,-15.99,3.05,1.58,2.59
1.44,2019-01-01 00:27:11,2019-01-01 00:31:38,Y,4.96,37.7,244.22,2.93,24.96,94.52,2.64,1.92,63.3,29.19,majority,0.23,316.67,1.44,1.43,0.65
1.15,2019-01-01 00:47:55,2018-12-21 15:18:57,N,5.23,162.91,36.69,3.75,95.3,393.72,0.73,0.31,62.02,6.15,like,-0.13,-25.32,3.5,1.64,2.69
1.03,2019-01-01 00:12:47,2019-01-01 00:16:32,N,1.02,31.71,109.54,1.45,51.76,359.97,2.01,3.02,47.24,50.29,sort,0.22,203.75,2.17,1.55,2.73
1.77,2019-01-01 00:10:16,2018-12-21 15:18:57,N,3.67,26.72,162.16,5.63,53.2,209.68,-2.37,-0.12,93.89,35.88,parent,0.2,-63.92,4.88,1.81,0.33
1.69,2019-01-01 00:12:35,2019-01-01 00:16:32,Y,2.04,86.89,9.84,8.56,104.3,-105.59,2.83,-0.4,23.12,14.26,story,-0.04,53.77,2.27,1.39,1.23
1.6,2019-01-01 00:27:11,2018-12-21 15:18:57,Y,1.66,86.8,200.9,6.17,84.82,148.85,-0.66,2.72,4.43,17.91,relationship,0.07,-43.85,3.58,1.7,1.6
1.42,2019-01-01 00:47:55,2019-01-01 00:39:46,N,3.1,156.12,188.54,5.38,2.77,269.22,1.29,0.23,89.66,38.55,cell,-0.03,-74.09,2.67,1.53,2.44
1.57,2019-01-01 00:10:16,2019-01-01 00:39:43,Y,4.47,152.16,254.8,7.15,84.52,37.76,1.26,2.38,39.37,56.66,boy,-0.05,52.42,2.37,1.56,0.1
1.55,2019-01-01 00:16:23,2019-01-01 00:19:09,N,2.02,151.53,183.66,6.97,29.3,318.38,0.33,2.52,26.99,27.95,young,0.02,57.04,1.2,1.56,1.73
1.75,2019-01-01 00:47:55,2019-01-01 00:31:38,Y,1.12,106.07,158.29,2.94,37.41,131.74,-0.61,1.37,25.74,77.45,tax,-0.27,-76.28,4.18,1.98,0.8
1.76,2019-01-01 00:19:06,2019-01-01 01:00:01,Y,2.23,215.23,22.09,7.03,114.77,387.15,-1.72,1.15,22.4,49.35,worry,0.02,120.45,3.82,1.89,0.38
1.63,2019-01-01 00:10:16,2019-01-01 01:04:54,N,3.74,208.18,38.89,8.8,61.78,-65.65,-2.08,3.09,43.21,76.79,career,-0.14,122.09,1.18,1.95,2.2
1.0,2019-01-01 00:12:35,2019-01-01 01:19:02,N,1.11,187.58,189.54,1.62,33.3,-100.57,-1.87,1.9,45.65,27.42,quality,0.09,-119.13,3.61,1.95,0.17
1.48,2019-01-01 00:47:55,2019-01-01 00:19:09,Y,5.71,119.86,204.34,0.87,17.05,-13.83,2.85,3.62,67.21,45.46,one,0.07,241.81,2.95,1.31,0.48
1.56,2019-01-01 00:10:16,2018-12-21 15:18:57,Y,2.92,33.13,235.92,3.9,77.2,93.57,1.16,3.52,41.64,63.96,stay,0.23,72.09,4.92,1.8,1.26
1.24,2019-01-01 00:16:23,2019-01-01 00:39:43,Y,4.92,112.6,26.99,2.27,50.98,-110.07,-1.12,0.08,60.75,64.21,mind,-0.23,-6.17,1.6,1.02,0.65
1.34,2019-01-01 00:16:23,2019-01-01 00:19:09,Y,4.73,24.74,114.36,2.48,11.97,156.92,4.12,1.3,16.79,-0.37,eye,-0.03,339.7,3.03,1.39,2.54
1.26,2019-01-01 00:16:23,2019-01-01 00:39:43,Y,1.0,240.41,66.74,4.31,107.72,301.33,2.13,3.55,89.27,34.81,natural,0.12,116.41,1.85,1.08,2.53
1.49,2019-01-01 00:12:35,2019-01-01 00:31:38,Y,5.43,94.89,37.94,4.52,107.56,13.57,-2.08,3.37,64.13,43.47,language,-0.21,321.41,3.4,1.32,0.21
1.17,2019-01-01 00:19:06,2019-01-01 01:19:02,N,1.8,222.88,58.19,6.09,19.78,58.32,3.59,-0.44,11.28,40.47,music,-0.13,86.27,2.02,1.97,1.36
1.31,2019-01-01 00:47:55,2019-01-01 00:31:38,Y,4.69,17.56,97.62,4.63,38.68,-118.57,3.63,1.37,1.9,53.68,across,0.13,68.11,3.22,1.96,2.48
1.2,2019-01-01 00:27:11,2019-01-01 01:00:01,N,3.34,112.59,243.38,1.39,70.4,348.52,-1.07,0.92,49.85,35.33,region,-0.17,322.78,1.73,1.97,1.81
1.68,2019-01-01 00:16:23,2019-01-01 00:31:38,Y,3.65,14.15,45.2,6.11,85.72,207.45,-4.03,3.15,-6.72,-3.89,true,0.18,339.0,1.77,1.03,2.53
1.85,2019-01-01 00:12:47,2019-01-01 01:19:02,Y,2.23,251.82,252.85,8.97,4.07,-57.41,-2.79,1.96,49.47,68.97,president,-0.0,272.37,3.33,1.68,0.72
1.21,2019-01-01 00:58:02,2019-01-01 00:31:38,N,4.69,197.45,164.65,8.34,72.9,330.26,3.82,0.27,37.97,58.74,prove,0.27,353.49,2.1,1.3,0.95
1.3,2019-01-01 00:47:55,2019-01-01 00:30:50,Y,5.12,100.92,41.37,7.61,114.24,361.71,1.16,2.03,78.39,92.24,against,0.02,1.4,3.56,1.95,1.76
1.99,2019-01-01 00:12:35,2018-12-21 15:18:57,N,2.49,31.43,170.42,5.18,107.13,167.27,1.35,1.44,-5.07,92.73,order,-0.09,-22.73,3.38,1.7,1.72
1.75,2018-12-21 15:17:29,2019-01-01 00:30:50,N,4.5,99.44,102.56,5.17,107.24,223.09,0.7,3.61,34.19,93.66,teach,-0.17,200.88,2.78,1.75,1.6
1.94,2019-01-01 00:46:20,2019-01-01 00:31:38,Y,1.88,242.47,62.27,4.16,30.23,-89.44,-3.56,3.22,9.29,4.64,ever,0.28,-54.55,3.38,1.36,1.25
1.76,2019-01-01 00:58:02,2019-01-01 01:19:02,N,4.92,219.23,117.47,5.49,43.79,223.9,-2.3,2.96,-4.57,41.63,week,0.04,-13.71,3.81,1.08,0.13
1.34,2019-01-01 00:47:55,2018-12-21 15:18:57,N,5.12,183.13,10.43,3.33,27.08,-40.46,1.09,0.13,12.56,40.29,whom,-0.22,5.03,1.16,1.6,1.38
1.94,2019-01-01 00:12:47,2019-01-01 00:31:38,N,5.25,138.52,4.26,7.5,12.11,172.59,-0.57,-0.16,36.98,50.75,keep,-0.24,306.83,1.52,1.56,0.09
1.63,2019-01-01 00:12:35,2019-01-01 00:31:38,N,2.09,155.6,5.7,3.72,112.18,388.7,-1.87,2.84,96.71,16.4,but,0.05,-78.33,1.17,1.54,1.24
1.14,2018-12-21 15:17:29,2019-01-01 00:39:46,Y,3.67,147.2,95.61,2.08,26.81,155.45,-3.26,2.83,44.38,26.53,like,0.0,272.08,3.08,1.5,1.17
1.96,2019-01-01 00:12:47,2019-01-01 00:30:50,N,3.02,55.64,39.98,2.24,33.39,336.39,-3.58,0.4,71.53,-4.04,investment,-0.22,117.84,1.2,1.61,1.52
1.71,2019-01-01 00:16:23,2019-01-01 01:04:54,Y,5.39,136.55,247.19,2.62,74.53,383.06,3.0,0.26,97.26,32.53,agency,0.23,361.28,2.0,1.6,0.95
1.67,2019-01-01 00:10:16,2019-01-01 00:16:32,N,1.81,167.2,66.39,4.2,24.96,67.15,-0.05,1.16,97.53,18.52,development,-0.28,330.13,3.71,1.92,1.61
1.44,2019-01-01 00:16:23,2019-01-01 00:31:38,Y,4.27,145.74,168.71,8.13,113.36,-90.53,-0.19,3.73,51.62,27.64,training,-0.14,102.05,4.16,1.86,1.83
1.2,2019-01-01 00:58:02,2019-01-01 01:04:54,N,1.29,57.8,258.15,2.41,17.41,91.14,-1.35,1.2,21.23,92.06,late,0.11,27.76,1.06,1.81,2.48
1.03,2019-01-01 00:19:06,2019-01-01 01:19:02,N,3.29,134.02,198.0,5.94,52.55,-113.73,-0.42,0.34,68.8,42.63,me,0.28,165.3,1.6,1.21,1.16
1.5,2019-01-01 00:19:06,2019-01-01 00:30:50,Y,2.78,209.32,222.58,7.69,4.59,96.57,0.21,0.22,31.35,68.38,example,0.26,310.07,1.34,1.58,0.56
1.11,2019-01-01 00:27:11,2019-01-01 01:00:01,Y,3.36,52.96,247.96,2.6,7.89,-2.11,-3.18,3.29,45.33,87.37,happy,-0.29,39.69,4.26,1.3,1.8
1.06,2019-01-01 00:27:11,2019-01-01 00:19:09,N,1.43,115.3,236.48,7.92,82.34,99.39,-3.63,3.23,25.28,82.47,glass,-0.27,112.56,3.43,1.98,2.36
1.48,2018-12-21 15:17:29,2019-01-01 00:19:09,N,5.99,48.34,62.31,2.35,29.3,-42.19,-1.38,1.08,34.36,11.28,medical,-0.16,147.79,4.46,1.41,2.03
1.04,2019-01-01 00:12:35,2019-01-01 00:30:50,Y,1.61,234.43,189.1,1.71,32.86,86.97,-3.81,1.89,29.25,7.11,soon,-0.02,153.3,1.72,1.08,0.53
1.9,2019-01-01 00:47:55,2019-01-01 01:04:54,N,2.48,232.76,113.76,6.23,12.1,-35.39,-0.76,2.63,86.19,14.04,if,-0.29,-45.44,3.52,1.93,0.27
1.35,2019-01-01 00:46:20,2019-01-01 01:19:02,Y,5.2,201.92,91.92,6.33,16.1,163.41,0.4,3.78,53.11,51.2,bad,-0.28,249.01,4.78,1.64,2.12
1.9,2018-12-21 15:17:29,2019-01-01 01:19:02,Y,3.6,41.75,196.29,7.89,105.72,82.85,3.36,1.2,90.56,45.75,degree,0.1,181.47,2.42,1.06,0.68
1.17,2019-01-01 00:12:47,2019-01-01 01:19:02,Y,2.02,233.0,161.37,4.35,11.72,259.8,2.04,2.73,97.89,51.26,blood,0.17,61.18,3.17,1.85,0.08
1.45,2019-01-01 00:47:55,2019-01-01 01:04:54,N,4.89,70.36,20.51,2.97,103.9,-68.16,-0.5,1.03,17.2,5.16,visit,-0.07,89.29,4.76,1.38,0.63
1.59,2019-01-01 00:47:55,2019-01-01 01:04:54,N,2.38,139.19,97.38,3.64,24.64,-108.98,2.56,1.25,81.98,21.95,free,-0.13,-113.01,4.07,1.58,1.16
1.99,2019-01-01 00:16:23,2019-01-01 01:00:01,Y,5.34,154.11,186.91,8.08,64.2,284.65,-0.91,0.88,71.8,33.48,agent,-0.23,256.73,2.9,1.75,0.73
1.04,2019-01-01 00:16:23,2018-12-21 15:18:57,Y,3.55,141.03,151.29,4.62,70.74,148.81,1.25,3.25,26.28,45.07,student,0.25,266.3,3.64,1.76,0.38
1.65,2019-01-01 00:47:55,2019-01-01 01:04:54,N,5.47,76.03,14.07,2.89,39.01,338.53,2.13,2.98,82.24,25.57,painting,0.2,369.72,3.22,1.13,1.47
1.73,2019-01-01 00:47:55,2019-01-01 01:04:54,Y,5.37,257.43,198.93,6.64,99.02,207.3,-1.5,0.41,12.85,27.16,growth,0.06,219.51,3.07,1.18,2.63
1.35,2019-01-01 00:58:02,2019-01-01 00:39:46,N,5.68,217.34,143.37,5.49,85.7,-5.72,1.46,3.26,80.17,18.86,professional,-0.07,-112.07,3.29,1.12,2.27
1.67,2019-01-01 00:12:47,2019-01-01 00:16:32,Y,5.31,247.91,54.75,3.13,51.43,201.95,0.46,0.4,28.07,45.5,success,-0.09,323.69,4.25,1.68,2.27
1.78,2019-01-01 00:10:16,2019-01-01 01:00:01,N,2.16,53.83,207.25,5.52,72.05,30.52,4.12,2.14,51.15,25.18,suddenly,0.03,62.01,1.92,1.19,0.97
1.81,2019-01-01 00:12:47,2018-12-21 15:18:57,Y,2.8,236.23,55.65,8.33,40.94,145.12,-1.34,2.66,49.86,78.14,interest,-0.15,70.15,3.09,1.62,1.85
1.27,2019-01-01 00:12:47,2019-01-01 00:16:32,Y,2.65,172.35,192.27,4.98,49.13,-57.73,-3.21,2.17,13.73,0.96,example,-0.02,73.9,2.23,1.14,2.59
1.36,2019-01-01 00:46:20,2019-01-01 00:31:38,N,4.78,114.35,138.66,1.38,34.54,146.8,-0.89,2.34,27.63,-5.59,real,-0.14,313.6,2.49,1.41,2.46
1.34,2019-01-01 00:10:16,2019-01-01 01:19:02,N,5.17,214.08,179.56,8.97,26.81,311.81,1.1,0.81,9.91,67.48,child,-0.3,-22.48,2.86,1.09,0.44
1.09,2019-01-01 00:47:55,2019-01-01 00:30:50,N,5.17,181.53,122.04,1.12,67.25,177.49,1.05,2.91,37.88,76.24,miss,-0.11,264.55,2.44,1.02,1.22
